"Number of households by type of outer wall","Number"
"BambooWall","793"
"Cement Bonded Bricks/Stone Wall","8598"
"Mud Bonded Bricks/Stone Wall","31793"
"Not stated","230"
"Others","97"
"Unbaked Bricks","12"
"Wood/Planks","525"
"Total","42048"
