"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","14"
"Male","51"
"","65"
"Dura",""
"Female","202"
"Male","190"
"","392"
"Gurung",""
"Female","1734"
"Male","1390"
"","3124"
"Magar",""
"Female","33"
"Male","40"
"","73"
"Nepali",""
"Female","10439"
"Male","8354"
"","18793"
"Newar",""
"Female","349"
"Male","290"
"","639"
"Not Reported",""
"Female","7"
"Male","5"
"","12"
"Others",""
"Female","26"
"Male","26"
"","52"
"Rai",""
"Female","3"
"Male","9"
"","12"
"Tamang",""
"Female","55"
"Male","71"
"","126"
"Tharu",""
"Female","4"
"Male","7"
"","11"
"Urdu",""
"Female","50"
"Male","36"
"","86"
