"Population by Caste Ethinicity","Number"
"Bantaba",""
"Female","40"
"Male","33"
"","73"
"Baraee",""
"Female","5"
"Male","11"
"","16"
"Brahman - Hill",""
"Female","1436"
"Male","1314"
"","2750"
"Brahman - Tarai",""
"Female","8"
"Male","12"
"","20"
"Chamling",""
"Female","21"
"Male","9"
"","30"
"Chhetri",""
"Female","3028"
"Male","2646"
"","5674"
"Damai/Dholi",""
"Female","334"
"Male","293"
"","627"
"Ghale",""
"Female","92"
"Male","83"
"","175"
"Gharti/Bhujel",""
"Female","240"
"Male","214"
"","454"
"Gurung",""
"Female","147"
"Male","145"
"","292"
"Kami",""
"Female","913"
"Male","811"
"","1724"
"Kulung",""
"Female","249"
"Male","209"
"","458"
"Kumal",""
"Female","111"
"Male","91"
"","202"
"Limbu",""
"Female","30"
"Male","28"
"","58"
"Magar",""
"Female","697"
"Male","641"
"","1338"
"Majhi",""
"Female","81"
"Male","83"
"","164"
"Mallaha",""
"Female","16"
"Male","19"
"","35"
"Nachhiring",""
"Female","35"
"Male","37"
"","72"
"Newar",""
"Female","1276"
"Male","1270"
"","2546"
"Nurang",""
"Female","5"
"Male","9"
"","14"
"Others",""
"Female","48"
"Male","41"
"","89"
"Rai",""
"Female","3365"
"Male","2970"
"","6335"
"Samgpang",""
"Female","46"
"Male","34"
"","80"
"Sanyasi/Dasnami",""
"Female","265"
"Male","235"
"","500"
"Sarki",""
"Female","607"
"Male","497"
"","1104"
"Sherpa",""
"Female","453"
"Male","351"
"","804"
"Sonar",""
"Female","6"
"Male","5"
"","11"
"Sunuwar",""
"Female","92"
"Male","81"
"","173"
"Tamang",""
"Female","2931"
"Male","2645"
"","5576"
"Terai Others",""
"Female","7"
"Male","9"
"","16"
"Thakuri",""
"Female","54"
"Male","55"
"","109"
"Tharu",""
"Female","12"
"Male","12"
"","24"
"Thulung",""
"Female","31"
"Male","32"
"","63"
