"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","22"
"Cow Dung","18"
"Electricity Fuel","1"
"KeroseneFuel","45"
"LP Gas","38"
"Not Sated about Fuel","9"
"OthersFuel","1"
"Wood/FireWood","6698"
"Total","6832"
