"Population by Religion","Number"
"Bahai","2"
"Bon","1"
"Buddism","7297"
"Christianity","268"
"Hindu","18024"
"Islam","0"
"Jainism","0"
"Kirat","5877"
"Prakriti","9"
"Sikhism","0"
"Undefined","134"
"Total","31612"
