"Population by Caste/Ethinicity","Number"
"Bhote",""
"Female","61"
"Male","57"
"Brahman - Hill",""
"Female","726"
"Male","683"
"Chhetri",""
"Female","2136"
"Male","1917"
"Damai/Dholi",""
"Female","151"
"Male","121"
"Gharti/Bhujel",""
"Female","82"
"Male","79"
"Gurung",""
"Female","258"
"Male","228"
"Kami",""
"Female","450"
"Male","388"
"Limbu",""
"Female","3718"
"Male","3299"
"Musahar",""
"Female","7"
"Male","6"
"Newar",""
"Female","21"
"Male","24"
"Others",""
"Female","21"
"Male","17"
"Rai",""
"Female","318"
"Male","304"
"Sanyasi/Dasnami",""
"Female","25"
"Male","27"
"Sarki",""
"Female","233"
"Male","189"
"Sherpa",""
"Female","12"
"Male","12"
"Sunuwar",""
"Female","19"
"Male","13"
"Tamang",""
"Female","13"
"Male","11"
"Walung",""
"Female","67"
"Male","98"
"Yakkha",""
"Female","6"
"Male","9"
