"Population by Five Years Age Group","Number"
"0-4",""
"Female","763"
"Male","853"
"10-14",""
"Female","1127"
"Male","1065"
"15-19",""
"Female","1024"
"Male","955"
"20-24",""
"Female","762"
"Male","533"
"25-29",""
"Female","601"
"Male","352"
"30-34",""
"Female","498"
"Male","367"
"35-39",""
"Female","500"
"Male","331"
"40-44",""
"Female","454"
"Male","396"
"45-49",""
"Female","362"
"Male","334"
"50-54",""
"Female","319"
"Male","362"
"55-59",""
"Female","239"
"Male","271"
"5-9",""
"Female","988"
"Male","984"
"60-64",""
"Female","243"
"Male","220"
"65-69",""
"Female","144"
"Male","137"
"70-74",""
"Female","117"
"Male","144"
"75+",""
"Female","183"
"Male","178"
