"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","4"
"Cow Dung","21"
"Electricity Fuel","0"
"KeroseneFuel","85"
"LP Gas","5"
"Not Sated about Fuel","39"
"OthersFuel","3"
"Wood/FireWood","5751"
"Total","5908"
