"Number of households by type of outer wall","Number"
"BambooWall","1762"
"Cement Bonded Bricks/Stone Wall","1064"
"Mud Bonded Bricks/Stone Wall","1494"
"Not Stated about Wall","48"
"Other Type Wall","197"
"Unbaked Bricks","156"
"Wood/Planks","1187"
"Total","5908"
