"Number of households by type of outer wall","Number"
"BambooWall","6136"
"Cement Bonded Bricks/Stone Wall","2999"
"Mud Bonded Bricks/Stone Wall","459"
"Not Stated about Wall","103"
"Other Type Wall","66"
"Unbaked Bricks","33"
"Wood/Planks","314"
"Total","10110"
