"Agricultural land use area","Hectare"
"Area under arable land","25043.36"
"Area under meadows and pasture","57.29"
"Area under permanent crops","1426.06"
"Area under Temporary crops","24261.78"
"Area under temporary fallow","644.98"
"Area under temporary meadows","136.60"
"Other land","1908.73"
"Ponds","5.33"
"Woodland and forest","581.56"
