"Number of households by type of outer wall","Number"
"BambooWall","1195"
"Cement Bonded Bricks/Stone Wall","22963"
"Mud Bonded Bricks/Stone Wall","51195"
"Not stated","622"
"Others","352"
"Unbaked Bricks","81"
"Wood/Planks","1878"
"Total","78286"
