"Agricultural land use area","Hectare"
"Area under arable land","76399.00"
"Area under meadows and pasture","12.00"
"Area under permanent crops","1709.00"
"Area under Temporary crops","75868.00"
"Area under temporary fallow","416.00"
"Area under temporary meadows","115.00"
"Other land","2301.00"
"Ponds","98.00"
"Woodland and forest","160.00"
"Total","157078.00"
