"Industries Types","Number"
"Accommodation and food","4351"
"Administrative and support service activity","235"
"Agriculture, forestry and fishing","301"
"Art, entertainment and recreation","309"
"Construction","78"
"Education","826"
"Electricty gas and water","11"
"Financial intermediation and insurance","500"
"Health and social work","365"
"Information and communications","165"
"Manufacturing","3733"
"Mining and quarrying","12"
"Other service activities","1844"
"Professional,scientific and techniqual activity","315"
"Real state, renting and business activities","21"
"Transport and storage","53"
"Water supply, wet management","90"
"Wholesale and retail trade","13800"
"Total","27009"
