"Gross value added by industry (at constant price)","Rs (,000)"
"Agriculture and forestry","26958444"
"Construction","5013009"
"Education","7314320"
"Electricty gas and water","887154"
"Financial intermediation","902165"
"Fishing","144399"
"Health and social work","1182679"
"Hotels and restaurants","824546"
"Manufacturing","2996090"
"Mining and quarrying","277650"
"Other community, social and personal service activities","4236721"
"Public administration and defence","2128292"
"Real estate, renting and business activities","2307535"
"Transport, storage and communications","2081842"
"Wholesale and retail trade","5292965"
"Total","62547811"
