"Gross value added by industry (at current price)","Rs (,000)"
"Agriculture and forestry","81636500"
"Construction","21790000"
"Education","25331600"
"Electricty gas and water","1633137"
"Financial intermediation","4657900"
"Fishing","361425"
"Health and social work","4305600"
"Hotels and restaurants","3518000"
"Manufacturing","9248000"
"Mining and quarrying","1217549"
"Other community, social and personal service activities","15375500"
"Public administration and defence","10528000"
"Real estate, renting and business activities","12286393"
"Transport, storage and communications","5156200"
"Wholesale and retail trade","17920300"
"Total","214966104"
