"Annual Growth rate of GDP by economic activities","Percentage %"
"Agriculture and forestry","4.65"
"Construction","8.85"
"Education","4.77"
"Electricty gas and water","10.44"
"Financial intermediation","4.84"
"Fishing","6.03"
"Health and social work","5.20"
"Hotels and restaurants","7.30"
"Manufacturing","5.69"
"Mining and quarrying","9.35"
"Other community, social and personal service activities","6.42"
"Public administration and defence","6.00"
"Real estate, renting and business activities","4.64"
"Transport, storage and communications","5.62"
"Wholesale and retail trade","15.06"
