"Number of households by type of outer wall","Number"
"BambooWall","462"
"Cement Bonded Bricks/Stone Wall","1722"
"Mud Bonded Bricks/Stone Wall","2556"
"Not Stated about Wall","94"
"Other Type Wall","260"
"Unbaked Bricks","90"
"Wood/Planks","79"
"Total","5263"
