"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","8"
"Cow Dung","1"
"Electricity","0"
"Kerosene","5"
"LP Gas","126"
"Not stated","10"
"Others","1"
"Wood/Firewood","3947"
"Total","4098"
