"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","12"
"Cow Dung","17"
"Electricity","0"
"Kerosene","5"
"LP Gas","0"
"Not stated","31"
"Others","3"
"Wood/Firewood","6353"
"Total","6421"
