"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","43"
"Male","45"
"Brahman - Hill",""
"Female","275"
"Male","277"
"Chhetri",""
"Female","7580"
"Male","7452"
"Dalit Others",""
"Female","18"
"Male","23"
"Damai/Dholi",""
"Female","686"
"Male","712"
"Kami",""
"Female","4438"
"Male","4178"
"Magar",""
"Female","2037"
"Male","2042"
"Others",""
"Female","28"
"Male","20"
"Sanyasi/Dasnami",""
"Female","178"
"Male","180"
"Sarki",""
"Female","340"
"Male","372"
"Sonar",""
"Female","13"
"Male","14"
"Tamang",""
"Female","5"
"Male","18"
"Terai Others",""
"Female","8"
"Male","14"
"Thakuri",""
"Female","1329"
"Male","1276"
