"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","102"
"Male","90"
"","192"
"Chhetri",""
"Female","1693"
"Male","1496"
"","3189"
"Damai/Dholi",""
"Female","142"
"Male","116"
"","258"
"Gharti/Bhujel",""
"Female","16"
"Male","12"
"","28"
"Kami",""
"Female","171"
"Male","146"
"","317"
"Limbu",""
"Female","2262"
"Male","1961"
"","4223"
"Magar",""
"Female","287"
"Male","264"
"","551"
"Newar",""
"Female","121"
"Male","107"
"","228"
"Others",""
"Female","23"
"Male","20"
"","43"
"Rai",""
"Female","1144"
"Male","994"
"","2138"
"Sarki",""
"Female","46"
"Male","36"
"","82"
"Sunuwar",""
"Female","39"
"Male","29"
"","68"
"Tamang",""
"Female","774"
"Male","687"
"","1461"
"Yakkha",""
"Female","334"
"Male","307"
"","641"
