"Population by Mother tongue","Number"
"Bantawa",""
"Female","465"
"Male","403"
"","868"
"Chamling",""
"Female","90"
"Male","87"
"","177"
"Khaling",""
"Female","44"
"Male","46"
"","90"
"Limbu",""
"Female","2223"
"Male","1933"
"","4156"
"Magar",""
"Female","269"
"Male","252"
"","521"
"Maithili",""
"Female","4"
"Male","8"
"","12"
"Nachhiring",""
"Female","7"
"Male","11"
"","18"
"Nepali",""
"Female","2348"
"Male","2053"
"","4401"
"Newar",""
"Female","86"
"Male","73"
"","159"
"Not Reported",""
"Female","18"
"Male","9"
"","27"
"Others",""
"Female","26"
"Male","17"
"","43"
"Rai",""
"Female","332"
"Male","266"
"","598"
"Sampang",""
"Female","99"
"Male","80"
"","179"
"Sunuwar",""
"Female","35"
"Male","25"
"","60"
"Tamang",""
"Female","762"
"Male","681"
"","1443"
"Thulung",""
"Female","15"
"Male","19"
"","34"
"Yakkha",""
"Female","331"
"Male","302"
"","633"
