"Agricultural land use area","Hectare"
"Area under arable land","44411.58"
"Area under meadows and pasture","1.44"
"Area under permanent crops","499.46"
"Area under Temporary crops","44228.98"
"Area under temporary fallow","94.26"
"Area under temporary meadows","88.34"
"Other land","2189.30"
"Ponds","109.20"
"Woodland and forest","22.47"
