"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","5125"
"Cow Dung","841"
"Electricity","18"
"Kerosene","370"
"LP Gas","3652"
"Not stated","180"
"Others","88"
"Wood/Firewood","72873"
"Total","83147"
