"Population by Single Year of Age","Number"
"0",""
"Female","3587"
"Male","3833"
"1",""
"Female","3175"
"Male","3359"
"10",""
"Female","6010"
"Male","6308"
"11",""
"Female","4791"
"Male","4981"
"12",""
"Female","6404"
"Male","6986"
"13",""
"Female","5703"
"Male","5541"
"14",""
"Female","6380"
"Male","5885"
"15",""
"Female","5901"
"Male","5401"
"16",""
"Female","6351"
"Male","5868"
"17",""
"Female","5260"
"Male","4654"
"18",""
"Female","6627"
"Male","5873"
"19",""
"Female","3968"
"Male","3192"
"2",""
"Female","3659"
"Male","3922"
"20",""
"Female","6241"
"Male","4262"
"21",""
"Female","3820"
"Male","2892"
"22",""
"Female","5289"
"Male","3976"
"23",""
"Female","3776"
"Male","2751"
"24",""
"Female","3819"
"Male","2961"
"25",""
"Female","5699"
"Male","4269"
"26",""
"Female","3780"
"Male","2954"
"27",""
"Female","3539"
"Male","2817"
"28",""
"Female","4343"
"Male","3589"
"29",""
"Female","2137"
"Male","1806"
"3",""
"Female","4181"
"Male","4208"
"30",""
"Female","5907"
"Male","4477"
"31",""
"Female","1800"
"Male","1611"
"32",""
"Female","3319"
"Male","3001"
"33",""
"Female","2194"
"Male","1712"
"34",""
"Female","2307"
"Male","1696"
"35",""
"Female","5489"
"Male","4994"
"36",""
"Female","2276"
"Male","2127"
"37",""
"Female","1692"
"Male","1571"
"38",""
"Female","2775"
"Male","2333"
"39",""
"Female","1534"
"Male","1256"
"4",""
"Female","4420"
"Male","4609"
"40",""
"Female","5198"
"Male","4716"
"41",""
"Female","1423"
"Male","1299"
"42",""
"Female","2268"
"Male","2122"
"43",""
"Female","1700"
"Male","1407"
"44",""
"Female","1500"
"Male","1226"
"45",""
"Female","3986"
"Male","4225"
"46",""
"Female","1364"
"Male","1444"
"47",""
"Female","1088"
"Male","1106"
"48",""
"Female","1854"
"Male","1721"
"49",""
"Female","964"
"Male","849"
"5",""
"Female","4801"
"Male","4984"
"50",""
"Female","3232"
"Male","3329"
"51",""
"Female","844"
"Male","904"
"52",""
"Female","1204"
"Male","1333"
"53",""
"Female","874"
"Male","781"
"54",""
"Female","866"
"Male","680"
"55",""
"Female","2398"
"Male","2579"
"56",""
"Female","975"
"Male","995"
"57",""
"Female","805"
"Male","783"
"58",""
"Female","1223"
"Male","1066"
"59",""
"Female","768"
"Male","666"
"6",""
"Female","4583"
"Male","4804"
"60",""
"Female","2963"
"Male","2823"
"61",""
"Female","670"
"Male","728"
"62",""
"Female","958"
"Male","814"
"63",""
"Female","711"
"Male","553"
"64",""
"Female","601"
"Male","563"
"65",""
"Female","2080"
"Male","2065"
"66",""
"Female","507"
"Male","530"
"67",""
"Female","502"
"Male","569"
"68",""
"Female","725"
"Male","938"
"69",""
"Female","313"
"Male","472"
"7",""
"Female","4916"
"Male","5118"
"70",""
"Female","1373"
"Male","1424"
"71",""
"Female","294"
"Male","342"
"72",""
"Female","448"
"Male","533"
"73",""
"Female","256"
"Male","349"
"74",""
"Female","174"
"Male","236"
"75",""
"Female","670"
"Male","673"
"76",""
"Female","155"
"Male","202"
"77",""
"Female","140"
"Male","175"
"78",""
"Female","162"
"Male","237"
"79",""
"Female","78"
"Male","117"
"8",""
"Female","5228"
"Male","5305"
"80",""
"Female","337"
"Male","306"
"81",""
"Female","60"
"Male","71"
"82",""
"Female","68"
"Male","87"
"83",""
"Female","55"
"Male","88"
"84",""
"Female","59"
"Male","83"
"85",""
"Female","409"
"Male","399"
"9",""
"Female","4513"
"Male","4586"
