"Number of households by type of outer wall","Number"
"BambooWall","45"
"Cement Bonded Bricks/Stone Wall","936"
"Mud Bonded Bricks/Stone Wall","5290"
"Not stated","66"
"Others","62"
"Unbaked Bricks","215"
"Wood/Planks","2211"
"Total","8825"
