"Population by Five Years Age Group","Number"
"0-4",""
"Female","2352"
"Male","2511"
"10-14",""
"Female","3189"
"Male","3157"
"15-19",""
"Female","2593"
"Male","2226"
"20-24",""
"Female","2322"
"Male","1591"
"25-29",""
"Female","1858"
"Male","1090"
"30-34",""
"Female","1536"
"Male","1087"
"35-39",""
"Female","1211"
"Male","955"
"40-44",""
"Female","993"
"Male","809"
"45-49",""
"Female","897"
"Male","692"
"50-54",""
"Female","715"
"Male","679"
"55-59",""
"Female","522"
"Male","540"
"5-9",""
"Female","2867"
"Male","2997"
"60-64",""
"Female","553"
"Male","495"
"65-69",""
"Female","317"
"Male","370"
"70-74",""
"Female","184"
"Male","176"
"75+",""
"Female","191"
"Male","190"
