"Industries Employment","Number"
"Accommodation,  food",""
"Female","2095"
"Male","2554"
"Administrative, support service",""
"Female","22"
"Male","109"
"Agriculture, forestry and  fishing",""
"Female","326"
"Male","625"
"Arts, entertainment, recreation",""
"Female","9"
"Male","27"
"Construction",""
"Female","5"
"Male","41"
"Education",""
"Female","3668"
"Male","4969"
"Electricity, gas and water",""
"Female","20"
"Male","83"
"Financial intermediation and insurance",""
"Female","1104"
"Male","1316"
"Health, social work",""
"Female","749"
"Male","790"
"Information and communication",""
"Female","72"
"Male","188"
"Manufacturing",""
"Female","2147"
"Male","5123"
"Other service activities",""
"Female","409"
"Male","902"
"Professional, scientific, techniqual activity",""
"Female","61"
"Male","168"
"Real estate, renting and business activity",""
"Female","2"
"Male","19"
"Transportation,  storage",""
"Female","23"
"Male","139"
"Water supply, wet management",""
"Female","751"
"Male","895"
"Wholesale, retail trade",""
"Female","7282"
"Male","10547"
