"Industries Types","Number"
"Accommodation and food","1852"
"Administrative and support service activity","47"
"Agriculture, forestry and fishing","257"
"Art, entertainment and recreation","11"
"Construction","8"
"Education","562"
"Electricty gas and water","4"
"Financial intermediation and insurance","211"
"Health and social work","266"
"Information and communications","30"
"Manufacturing","1643"
"Mining and quarrying","23"
"Other service activities","694"
"Professional,scientific and techniqual activity","108"
"Real state, renting and business activities","1"
"Transport and storage","35"
"Water supply, wet management","30"
"Wholesale and retail trade","8639"
"Total","14421"
