"Population by Mother tongue","Number"
"Bahing",""
"Female","208"
"Male","189"
"","397"
"Bangla",""
"Female","83"
"Male","129"
"","212"
"Bantawa",""
"Female","4351"
"Male","3691"
"","8042"
"Bhojpuri",""
"Female","291"
"Male","305"
"","596"
"Bhujel",""
"Female","249"
"Male","240"
"","489"
"Chamling",""
"Female","1927"
"Male","1669"
"","3596"
"Chhiling",""
"Female","37"
"Male","35"
"","72"
"Danuwar",""
"Female","9"
"Male","5"
"","14"
"Dhimal",""
"Female","11"
"Male","13"
"","24"
"Doteli",""
"Female","23"
"Male","13"
"","36"
"Dumi",""
"Female","292"
"Male","211"
"","503"
"Dungmali",""
"Female","65"
"Male","58"
"","123"
"English",""
"Female","9"
"Male","14"
"","23"
"Gurung",""
"Female","967"
"Male","772"
"","1739"
"Hindi",""
"Female","453"
"Male","629"
"","1082"
"Khaling",""
"Female","180"
"Male","170"
"","350"
"Khash",""
"Female","11"
"Male","9"
"","20"
"Koyee",""
"Female","102"
"Male","76"
"","178"
"Kulung",""
"Female","1162"
"Male","966"
"","2128"
"Lapcha",""
"Female","6"
"Male","5"
"","11"
"Limbu",""
"Female","7640"
"Male","6211"
"","13851"
"Lohorung",""
"Female","40"
"Male","35"
"","75"
"Magar",""
"Female","2336"
"Male","1995"
"","4331"
"Maithili",""
"Female","1987"
"Male","2499"
"","4486"
"Majhi",""
"Female","84"
"Male","75"
"","159"
"Mewahang",""
"Female","136"
"Male","104"
"","240"
"Nachhiring",""
"Female","87"
"Male","81"
"","168"
"Nepali",""
"Female","31006"
"Male","27509"
"","58515"
"Newar",""
"Female","5433"
"Male","4727"
"","10160"
"Not Reported",""
"Female","244"
"Male","230"
"","474"
"Others",""
"Female","400"
"Male","376"
"","776"
"Puma",""
"Female","68"
"Male","61"
"","129"
"Punjabi",""
"Female","9"
"Male","13"
"","22"
"Rai",""
"Female","4482"
"Male","3700"
"","8182"
"Rajbanshi",""
"Female","27"
"Male","48"
"","75"
"Rajsthani",""
"Female","499"
"Male","505"
"","1004"
"Sampang",""
"Female","819"
"Male","617"
"","1436"
"Santhali",""
"Female","23"
"Male","10"
"","33"
"Sherpa",""
"Female","438"
"Male","402"
"","840"
"Sign Language",""
"Female","4"
"Male","7"
"","11"
"Sindhi",""
"Female","108"
"Male","107"
"","215"
"Sunuwar",""
"Female","286"
"Male","242"
"","528"
"Tamang",""
"Female","4384"
"Male","3787"
"","8171"
"Thami",""
"Female","16"
"Male","9"
"","25"
"Tharu",""
"Female","351"
"Male","438"
"","789"
"Thulung",""
"Female","386"
"Male","335"
"","721"
"Tilung",""
"Female","14"
"Male","10"
"","24"
"Uranw/Urau",""
"Female","94"
"Male","72"
"","166"
"Urdu",""
"Female","497"
"Male","686"
"","1183"
"Wambule",""
"Female","160"
"Male","160"
"","320"
"Yakkha",""
"Female","503"
"Male","393"
"","896"
"Yamphu/Yamphe",""
"Female","37"
"Male","28"
"","65"
