"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","17663"
"Mud Roof","0"
"Not Sated Roof","476"
"Other Type of Roof","38"
"RCC Roof","13755"
"Thatch/Straw Roof","541"
"Tile/Slate Roof","81"
"Wood/Planks Roof","139"
"Total","32693"
