"Population by Five Years Age Group","Number"
"0-4",""
"Female","1329"
"Male","1457"
"10-14",""
"Female","2199"
"Male","2325"
"15-19",""
"Female","2157"
"Male","1903"
"20-24",""
"Female","2009"
"Male","1197"
"25-29",""
"Female","1691"
"Male","877"
"30-34",""
"Female","1344"
"Male","789"
"35-39",""
"Female","1123"
"Male","665"
"40-44",""
"Female","996"
"Male","583"
"45-49",""
"Female","807"
"Male","542"
"50-54",""
"Female","709"
"Male","648"
"55-59",""
"Female","582"
"Male","522"
"5-9",""
"Female","1882"
"Male","1963"
"60-64",""
"Female","517"
"Male","495"
"65-69",""
"Female","335"
"Male","342"
"70-74",""
"Female","232"
"Male","256"
"75+",""
"Female","299"
"Male","307"
