"Population by Five Years Age Group","Number"
"0-4",""
"Female","964"
"Male","1009"
"10-14",""
"Female","1371"
"Male","1396"
"15-19",""
"Female","1344"
"Male","1175"
"20-24",""
"Female","1146"
"Male","611"
"25-29",""
"Female","974"
"Male","516"
"30-34",""
"Female","767"
"Male","441"
"35-39",""
"Female","754"
"Male","488"
"40-44",""
"Female","699"
"Male","530"
"45-49",""
"Female","644"
"Male","519"
"50-54",""
"Female","555"
"Male","589"
"55-59",""
"Female","473"
"Male","433"
"5-9",""
"Female","1232"
"Male","1241"
"60-64",""
"Female","342"
"Male","394"
"65-69",""
"Female","256"
"Male","244"
"70-74",""
"Female","203"
"Male","200"
"75+",""
"Female","300"
"Male","268"
