"Number of households by type of outer wall","Number"
"BambooWall","7120"
"Cement Bonded Bricks/Stone Wall","20015"
"Mud Bonded Bricks/Stone Wall","1960"
"Not Stated about Wall","642"
"Other Type Wall","105"
"Unbaked Bricks","94"
"Wood/Planks","653"
"Total","30589"
