"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","20"
"Cow Dung","6390"
"Electricity Fuel","8"
"KeroseneFuel","499"
"LP Gas","12235"
"Not Sated about Fuel","531"
"OthersFuel","85"
"Wood/FireWood","10821"
"Total","30589"
