"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","163"
"Cow Dung","0"
"Electricity Fuel","1"
"KeroseneFuel","9"
"LP Gas","229"
"Not Sated about Fuel","14"
"OthersFuel","2"
"Wood/FireWood","5020"
"Total","5438"
