"Population by Caste Ethinicity","Number"
"Badi",""
"Female","59"
"Male","48"
"","107"
"Brahman - Hill",""
"Female","159"
"Male","127"
"","286"
"Chhetri",""
"Female","4231"
"Male","4176"
"","8407"
"Dalit Others",""
"Female","8"
"Male","12"
"","20"
"Damai/Dholi",""
"Female","650"
"Male","570"
"","1220"
"Kami",""
"Female","2515"
"Male","2470"
"","4985"
"Kathabaniyan",""
"Female","25"
"Male","34"
"","59"
"Magar",""
"Female","518"
"Male","547"
"","1065"
"Others",""
"Female","17"
"Male","15"
"","32"
"Sanyasi/Dasnami",""
"Female","319"
"Male","321"
"","640"
"Sarki",""
"Female","116"
"Male","117"
"","233"
"Terai Others",""
"Female","10"
"Male","6"
"","16"
"Thakuri",""
"Female","2361"
"Male","2288"
"","4649"
"Tharu",""
"Female","5"
"Male","9"
"","14"
