"Population by Caste Ethinicity","Number"
"Badi",""
"Female","12"
"Male","17"
"","29"
"Brahman - Hill",""
"Female","2387"
"Male","1943"
"","4330"
"Chhetri",""
"Female","6061"
"Male","5350"
"","11411"
"Dalit Others",""
"Female","1804"
"Male","1522"
"","3326"
"Damai/Dholi",""
"Female","309"
"Male","267"
"","576"
"Kami",""
"Female","1420"
"Male","1322"
"","2742"
"Lohar",""
"Female","16"
"Male","10"
"","26"
"Majhi",""
"Female","13"
"Male","12"
"","25"
"Musalman",""
"Female","3"
"Male","10"
"","13"
"Others",""
"Female","14"
"Male","8"
"","22"
"Sarki",""
"Female","31"
"Male","25"
"","56"
"Terai Others",""
"Female","17"
"Male","18"
"","35"
"Thakuri",""
"Female","603"
"Male","544"
"","1147"
