"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","44"
"Male","27"
"","71"
"Darai",""
"Female","238"
"Male","196"
"","434"
"Gurung",""
"Female","185"
"Male","158"
"","343"
"Kumal",""
"Female","19"
"Male","12"
"","31"
"Magar",""
"Female","9362"
"Male","7142"
"","16504"
"Maithili",""
"Female","7"
"Male","10"
"","17"
"Nepali",""
"Female","4351"
"Male","3183"
"","7534"
"Newar",""
"Female","435"
"Male","351"
"","786"
"Not Reported",""
"Female","42"
"Male","28"
"","70"
"Others",""
"Female","23"
"Male","13"
"","36"
"Sign Language",""
"Female","15"
"Male","9"
"","24"
"Urdu",""
"Female","9"
"Male","11"
"","20"
