"Population by Five Years Age Group","Number"
"0-4",""
"Female","2739"
"Male","3041"
"10-14",""
"Female","4132"
"Male","4873"
"15-19",""
"Female","3560"
"Male","3988"
"20-24",""
"Female","3201"
"Male","2872"
"25-29",""
"Female","2983"
"Male","2639"
"30-34",""
"Female","2666"
"Male","2277"
"35-39",""
"Female","2426"
"Male","2469"
"40-44",""
"Female","1800"
"Male","1998"
"45-49",""
"Female","1533"
"Male","1807"
"50-54",""
"Female","1155"
"Male","1370"
"55-59",""
"Female","1007"
"Male","1141"
"5-9",""
"Female","4000"
"Male","4293"
"60-64",""
"Female","829"
"Male","1030"
"65-69",""
"Female","560"
"Male","657"
"70-74",""
"Female","437"
"Male","504"
"75+",""
"Female","419"
"Male","493"
