"Population by Five Years Age Group","Number"
"0-4",""
"Female","787"
"Male","794"
"10-14",""
"Female","1011"
"Male","1026"
"15-19",""
"Female","882"
"Male","862"
"20-24",""
"Female","582"
"Male","432"
"25-29",""
"Female","521"
"Male","328"
"30-34",""
"Female","415"
"Male","289"
"35-39",""
"Female","355"
"Male","300"
"40-44",""
"Female","399"
"Male","331"
"45-49",""
"Female","331"
"Male","298"
"50-54",""
"Female","264"
"Male","290"
"55-59",""
"Female","224"
"Male","223"
"5-9",""
"Female","1118"
"Male","1031"
"60-64",""
"Female","175"
"Male","197"
"65-69",""
"Female","169"
"Male","168"
"70-74",""
"Female","102"
"Male","121"
"75+",""
"Female","183"
"Male","141"
