"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","3"
"Cow Dung","3"
"Electricity","0"
"Kerosene","3"
"LP Gas","1"
"Not stated","22"
"Others","0"
"Wood/Firewood","2670"
"Total","2702"
