"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","353"
"Male","348"
"Chhetri",""
"Female","1124"
"Male","1050"
"Damai/Dholi",""
"Female","186"
"Male","157"
"Gharti/Bhujel",""
"Female","61"
"Male","60"
"Kami",""
"Female","323"
"Male","273"
"Magar",""
"Female","1672"
"Male","1478"
"Majhi",""
"Female","31"
"Male","21"
"Newar",""
"Female","538"
"Male","508"
"Others",""
"Female","9"
"Male","16"
"Rai",""
"Female","2612"
"Male","2372"
"Sanyasi/Dasnami",""
"Female","18"
"Male","21"
"Sarki",""
"Female","111"
"Male","81"
"Tamang",""
"Female","466"
"Male","435"
"Undefined Others",""
"Female","14"
"Male","11"
