"Population by Mother tongue","Number"
"Bantawa",""
"Female","460"
"Male","386"
"Chamling",""
"Female","730"
"Male","761"
"Magar",""
"Female","1610"
"Male","1419"
"Maithili",""
"Female","4"
"Male","10"
"Nepali",""
"Female","2896"
"Male","2612"
"Newar",""
"Female","210"
"Male","177"
"Not Reported",""
"Female","8"
"Male","11"
"Others",""
"Female","19"
"Male","16"
"Puma",""
"Female","1086"
"Male","970"
"Rai",""
"Female","79"
"Male","58"
"Tamang",""
"Female","399"
"Male","389"
"Thulung",""
"Female","17"
"Male","22"
