"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","229"
"Christianity","41"
"Hindu","20670"
"Islam","291"
"Jainism","0"
"Kirat","0"
"Prakriti","0"
"Sikhism","0"
"Undefined","2"
"Total","21233"
