"Number of households by type of outer wall","Number"
"BambooWall","2797"
"Cement Bonded Bricks/Stone Wall","466"
"Mud Bonded Bricks/Stone Wall","48"
"Not stated","14"
"Others","1"
"Unbaked Bricks","8"
"Wood/Planks","54"
"Total","3388"
