"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","18"
"Cow Dung","2113"
"Electricity","0"
"Kerosene","160"
"LP Gas","65"
"Not stated","67"
"Others","62"
"Wood/Firewood","2250"
"Total","4735"
