"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","20"
"Cow Dung","1"
"Electricity Fuel","1"
"KeroseneFuel","37"
"LP Gas","65"
"Not Sated about Fuel","22"
"OthersFuel","1"
"Wood/FireWood","5682"
"Total","5829"
