"Population by Caste Ethinicity","Number"
"Badi",""
"Female","9"
"Male","7"
"","16"
"Brahman - Hill",""
"Female","1385"
"Male","1092"
"","2477"
"Brahmu/ Baramo",""
"Female","1429"
"Male","1191"
"","2620"
"Chhetri",""
"Female","1201"
"Male","916"
"","2117"
"Damai/Dholi",""
"Female","208"
"Male","153"
"","361"
"Ghale",""
"Female","1161"
"Male","895"
"","2056"
"Gharti/Bhujel",""
"Female","51"
"Male","41"
"","92"
"Gurung",""
"Female","5616"
"Male","4279"
"","9895"
"Kami",""
"Female","764"
"Male","640"
"","1404"
"Magar",""
"Female","762"
"Male","596"
"","1358"
"Musalman",""
"Female","20"
"Male","15"
"","35"
"Newar",""
"Female","351"
"Male","279"
"","630"
"Others",""
"Female","22"
"Male","19"
"","41"
"Sanyasi/Dasnami",""
"Female","33"
"Male","24"
"","57"
"Sarki",""
"Female","746"
"Male","527"
"","1273"
"Tamang",""
"Female","473"
"Male","385"
"","858"
"Thakuri",""
"Female","55"
"Male","44"
"","99"
