"Population by Caste/Ethinicity","Number"
"#VALUE!",""
"Female","29"
"Male","28"
"Bantaba",""
"Female","7"
"Male","11"
"Brahman - Hill",""
"Female","4"
"Male","7"
"Chamling",""
"Female","11"
"Male","16"
"Chhetri",""
"Female","113"
"Male","113"
"Damai/Dholi",""
"Female","19"
"Male","21"
"Kami",""
"Female","159"
"Male","130"
"Kayastha",""
"Female","60"
"Male","73"
"Kulung",""
"Female","4031"
"Male","3800"
"Limbu",""
"Female","14"
"Male","10"
"Mewahang Bala",""
"Female","845"
"Male","775"
"Nachhiring",""
"Female","83"
"Male","73"
"Newar",""
"Female","4"
"Male","8"
"Others",""
"Female","23"
"Male","23"
"Rai",""
"Female","387"
"Male","396"
"Samgpang",""
"Female","14"
"Male","21"
"Sanyasi/Dasnami",""
"Female","8"
"Male","5"
"Sherpa",""
"Female","96"
"Male","81"
"Tamang",""
"Female","114"
"Male","112"
"Thulung",""
"Female","39"
"Male","43"
