"Population by Five Years Age Group","Number"
"0-4",""
"Female","568"
"Male","584"
"10-14",""
"Female","737"
"Male","748"
"15-19",""
"Female","803"
"Male","756"
"20-24",""
"Female","542"
"Male","472"
"25-29",""
"Female","416"
"Male","281"
"30-34",""
"Female","312"
"Male","268"
"35-39",""
"Female","325"
"Male","272"
"40-44",""
"Female","269"
"Male","279"
"45-49",""
"Female","269"
"Male","214"
"50-54",""
"Female","269"
"Male","302"
"55-59",""
"Female","228"
"Male","220"
"5-9",""
"Female","755"
"Male","790"
"60-64",""
"Female","203"
"Male","192"
"65-69",""
"Female","142"
"Male","133"
"70-74",""
"Female","93"
"Male","99"
"75+",""
"Female","129"
"Male","142"
