"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","83"
"Male","97"
"Brahman - Hill",""
"Female","360"
"Male","312"
"Chhetri",""
"Female","6703"
"Male","5555"
"Dalit Others",""
"Female","30"
"Male","20"
"Damai/Dholi",""
"Female","889"
"Male","736"
"Kami",""
"Female","1229"
"Male","1022"
"Kumal",""
"Female","137"
"Male","100"
"Lohar",""
"Female","93"
"Male","71"
"Others",""
"Female","18"
"Male","14"
"Sanyasi/Dasnami",""
"Female","48"
"Male","35"
"Sarki",""
"Female","288"
"Male","244"
"Thakuri",""
"Female","809"
"Male","647"
"Yadav",""
"Female","5"
"Male","6"
