"Agricultural land use area","Hectare"
"Area under arable land","8746.00"
"Area under meadows and pasture","475.00"
"Area under permanent crops","3086.00"
"Area under Temporary crops","8282.00"
"Area under temporary fallow","384.00"
"Area under temporary meadows","80.00"
"Other land","650.00"
"Ponds","0.00"
"Woodland and forest","459.00"
"Total","22162.00"
