"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","427659"
"Mud Roof","267"
"Not Sated Roof","22683"
"Other Type of Roof","2624"
"RCC Roof","528809"
"Thatch/Straw Roof","89874"
"Tile/Slate Roof","186185"
"Wood/Planks Roof","11043"
"Total","1269144"
