"Agricultural land use area","Hectare"
"Area under arable land","285423.00"
"Area under meadows and pasture","4096.00"
"Area under permanent crops","11065.00"
"Area under Temporary crops","278597.00"
"Area under temporary fallow","5458.00"
"Area under temporary meadows","1368.00"
"Other land","16610.00"
"Ponds","287.00"
"Woodland and forest","10816.00"
"Total","613720.00"
