"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","1769"
"Christianity","196"
"Hindu","10767"
"Islam","0"
"Jainism","0"
"Kirat","8291"
"Prakriti","2"
"Sikhism","0"
"Undefined","68"
"Total","21093"
