"Population by Mother tongue","Number"
"Bahing",""
"Female","709"
"Male","559"
"","1268"
"Jero/Jerung",""
"Female","240"
"Male","184"
"","424"
"Limbu",""
"Female","11"
"Male","5"
"","16"
"Magar",""
"Female","1759"
"Male","1472"
"","3231"
"Maithili",""
"Female","13"
"Male","46"
"","59"
"Nepali",""
"Female","3835"
"Male","3111"
"","6946"
"Newar",""
"Female","103"
"Male","83"
"","186"
"Not Reported",""
"Female","26"
"Male","17"
"","43"
"Others",""
"Female","39"
"Male","36"
"","75"
"Rai",""
"Female","221"
"Male","201"
"","422"
"Tamang",""
"Female","726"
"Male","604"
"","1330"
"Tharu",""
"Female","14"
"Male","12"
"","26"
"Wambule",""
"Female","3780"
"Male","3268"
"","7048"
