"Population by Five Years Age Group","Number"
"0-4",""
"Female","1014"
"Male","1028"
"10-14",""
"Female","1303"
"Male","1285"
"15-19",""
"Female","1169"
"Male","1018"
"20-24",""
"Female","1025"
"Male","1132"
"25-29",""
"Female","757"
"Male","1205"
"30-34",""
"Female","693"
"Male","852"
"35-39",""
"Female","600"
"Male","680"
"40-44",""
"Female","535"
"Male","542"
"45-49",""
"Female","379"
"Male","469"
"50-54",""
"Female","326"
"Male","328"
"55-59",""
"Female","217"
"Male","269"
"5-9",""
"Female","1182"
"Male","1258"
"60-64",""
"Female","289"
"Male","233"
"65-69",""
"Female","145"
"Male","131"
"70-74",""
"Female","68"
"Male","86"
"75+",""
"Female","64"
"Male","89"
