"Population by Five Years Age Group","Number"
"0-4",""
"Female","1093"
"Male","1142"
"10-14",""
"Female","1527"
"Male","1563"
"15-19",""
"Female","1133"
"Male","1109"
"20-24",""
"Female","812"
"Male","808"
"25-29",""
"Female","729"
"Male","693"
"30-34",""
"Female","701"
"Male","640"
"35-39",""
"Female","554"
"Male","592"
"40-44",""
"Female","607"
"Male","659"
"45-49",""
"Female","500"
"Male","535"
"50-54",""
"Female","453"
"Male","519"
"55-59",""
"Female","293"
"Male","344"
"5-9",""
"Female","1467"
"Male","1477"
"60-64",""
"Female","333"
"Male","383"
"65-69",""
"Female","252"
"Male","239"
"70-74",""
"Female","244"
"Male","211"
"75+",""
"Female","263"
"Male","231"
