"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","196"
"Male","163"
"Chhetri",""
"Female","1151"
"Male","1081"
"Damai/Dholi",""
"Female","136"
"Male","133"
"Gharti/Bhujel",""
"Female","12"
"Male","15"
"Gurung",""
"Female","42"
"Male","39"
"Hyolmo",""
"Female","178"
"Male","180"
"Kami",""
"Female","281"
"Male","235"
"Newar",""
"Female","86"
"Male","75"
"Others",""
"Female","17"
"Male","25"
"Sanyasi/Dasnami",""
"Female","11"
"Male","6"
"Sarki",""
"Female","17"
"Male","19"
"Sherpa",""
"Female","153"
"Male","166"
"Tamang",""
"Female","8667"
"Male","8998"
"Thakuri",""
"Female","14"
"Male","10"
