"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","132"
"Male","129"
"Chhetri",""
"Female","812"
"Male","686"
"Damai/Dholi",""
"Female","251"
"Male","236"
"Gharti/Bhujel",""
"Female","63"
"Male","55"
"Gurung",""
"Female","156"
"Male","135"
"Kami",""
"Female","398"
"Male","377"
"Koiri/Kushwaha",""
"Female","127"
"Male","137"
"Limbu",""
"Female","35"
"Male","28"
"Magar",""
"Female","4"
"Male","7"
"Nachhiring",""
"Female","55"
"Male","68"
"Newar",""
"Female","147"
"Male","127"
"Others",""
"Female","15"
"Male","28"
"Rai",""
"Female","5026"
"Male","4628"
"Sanyasi/Dasnami",""
"Female","38"
"Male","33"
"Sarki",""
"Female","27"
"Male","32"
"Sherpa",""
"Female","174"
"Male","151"
"Sunuwar",""
"Female","58"
"Male","49"
"Tamang",""
"Female","440"
"Male","408"
"Undefined Others",""
"Female","7"
"Male","9"
