"Population by Five Years Age Group","Number"
"0-4",""
"Female","756"
"Male","801"
"10-14",""
"Female","1038"
"Male","1170"
"15-19",""
"Female","1014"
"Male","987"
"20-24",""
"Female","655"
"Male","429"
"25-29",""
"Female","474"
"Male","322"
"30-34",""
"Female","390"
"Male","248"
"35-39",""
"Female","394"
"Male","250"
"40-44",""
"Female","459"
"Male","313"
"45-49",""
"Female","406"
"Male","354"
"50-54",""
"Female","345"
"Male","344"
"55-59",""
"Female","287"
"Male","304"
"5-9",""
"Female","1001"
"Male","1024"
"60-64",""
"Female","253"
"Male","256"
"65-69",""
"Female","182"
"Male","186"
"70-74",""
"Female","137"
"Male","156"
"75+",""
"Female","174"
"Male","179"
