"Population by Caste Ethinicity","Number"
"Badi",""
"Female","100"
"Male","91"
"","191"
"Brahman - Hill",""
"Female","764"
"Male","661"
"","1425"
"Chhetri",""
"Female","516"
"Male","399"
"","915"
"Damai/Dholi",""
"Female","145"
"Male","103"
"","248"
"Gharti/Bhujel",""
"Female","46"
"Male","43"
"","89"
"Gurung",""
"Female","76"
"Male","71"
"","147"
"Kami",""
"Female","76"
"Male","75"
"","151"
"Kulung",""
"Female","110"
"Male","84"
"","194"
"Limbu",""
"Female","1990"
"Male","1630"
"","3620"
"Others",""
"Female","23"
"Male","18"
"","41"
"Rai",""
"Female","53"
"Male","41"
"","94"
"Sanyasi/Dasnami",""
"Female","12"
"Male","8"
"","20"
"Sherpa",""
"Female","115"
"Male","101"
"","216"
"Sunuwar",""
"Female","8"
"Male","12"
"","20"
"Tamang",""
"Female","361"
"Male","346"
"","707"
